date,Symbol,sentiment_index
2014-02-14,BAJAJ-AUTO,1.0
2014-02-14,SUNPHARMA,0.3333333333333333
2014-02-14,TATASTEEL,-1.0
2014-02-15,BAJAJ-AUTO,0.0
2014-02-16,BAJAJ-AUTO,-1.0
2014-02-17,BAJAJ-AUTO,1.0
2014-02-17,ULTRACEMCO,1.0
2014-02-18,BPCL,-1.0
2014-02-18,LT,1.0
2014-02-19,LT,1.0
2014-02-19,TATASTEEL,1.0
2014-02-20,LT,0.3333333333333333
2014-02-20,SUNPHARMA,1.0
2014-02-20,TATASTEEL,1.0
2014-02-20,TCS,1.0
2014-02-21,BPCL,1.0
2014-02-21,DIVISLAB,1.0
2014-02-21,LT,1.0
2014-02-21,TCS,1.0
2014-02-21,ULTRACEMCO,1.0
2014-02-24,LT,0.3333333333333333
2014-02-24,SUNPHARMA,1.0
2014-02-24,TATASTEEL,-1.0
2014-02-24,TCS,1.0
2014-02-25,BAJAJ-AUTO,1.0
2014-02-25,BPCL,1.0
2014-02-25,LT,0.5
2014-02-25,TATASTEEL,-1.0
2014-02-25,TCS,1.0
2014-02-26,BPCL,0.0
2014-02-26,SUNPHARMA,1.0
2014-02-26,TATASTEEL,1.0
2014-02-26,TCS,1.0
2014-02-27,TATASTEEL,-1.0
2014-02-28,BPCL,-1.0
2014-02-28,LT,1.0
2014-02-28,SUNPHARMA,1.0
2014-02-28,TATASTEEL,1.0
2014-02-28,TCS,1.0
2014-02-28,ULTRACEMCO,1.0
2014-03-01,ICICIBANK,1.0
2014-03-03,BAJAJ-AUTO,-1.0
2014-03-03,LT,0.0
2014-03-03,SUNPHARMA,1.0
2014-03-03,TCS,0.6666666666666666
2014-03-04,BAJAJ-AUTO,0.0
2014-03-04,ICICIBANK,1.0
2014-03-04,LT,1.0
2014-03-04,TATASTEEL,-1.0
2014-03-04,TCS,1.0
2014-03-04,ULTRACEMCO,1.0
2014-03-05,TATASTEEL,1.0
2014-03-05,TCS,0.0
2014-03-05,ULTRACEMCO,0.0
2014-03-07,LT,-1.0
2014-03-07,TCS,0.5
2014-03-09,TATASTEEL,0.0
2014-03-10,BAJAJ-AUTO,1.0
